,terms,country,date
36713,house,France,2020-02-23
36714,important,France,2020-02-23
36715,budget,France,2020-02-23
36716,way,France,2020-02-23
36717,month,France,2020-02-23
36718,things,France,2020-02-23
36719,old,France,2020-02-23
36720,points,France,2020-02-23
36721,check,France,2020-02-23
36722,source,France,2020-02-23
36723,spreading,France,2020-02-23
36724,spreads,France,2020-02-23
36725,qiushi,France,2020-02-23
36726,bin,France,2020-02-23
36727,les,France,2020-02-23
36728,control,France,2020-02-23
36729,use,France,2020-02-23
36730,ban,France,2020-02-23
36731,confirms,France,2020-02-23
36732,7,France,2020-02-23
36733,science,France,2020-02-23
36734,ln,France,2020-02-23
36735,number,France,2020-02-23
36736,amid,France,2020-02-23
36737,minister,France,2020-02-23
36738,wait,France,2020-02-23
36739,person,France,2020-02-23
36740,infected,France,2020-02-23
36741,#covid2019,France,2020-02-23
36742,guess,France,2020-02-23
36743,80,France,2020-02-23
36744,big,France,2020-02-23
36745,#update,France,2020-02-23
36746,die,France,2020-02-23
36747,fuck,France,2020-02-23
36748,long,France,2020-02-23
36749,#,France,2020-02-23
36750,getting,France,2020-02-23
36751,trying,France,2020-02-23
36752,weeks,France,2020-02-23
36753,business,France,2020-02-23
36754,man,France,2020-02-23
36755,let,France,2020-02-23
36756,#mark,France,2020-02-23
36757,#superm,France,2020-02-23
36758,vigil,France,2020-02-23
36759,care,France,2020-02-23
36760,bazaar,France,2020-02-23
36761,ago,France,2020-02-23
36762,reported,France,2020-02-23
36763,issues,France,2020-02-23
36764,billion,France,2020-02-23
36765,daegu,France,2020-02-23
36766,sick,France,2020-02-23
36767,trade,France,2020-02-23
36768,bbg,France,2020-02-23
36769,prepared,France,2020-02-23
36770,alert,France,2020-02-23
36771,american,France,2020-02-23
36772,threatens,France,2020-02-23
36773,affected,France,2020-02-23
36774,services,France,2020-02-23
36775,wuhan,France,2020-02-23
36776,death,France,2020-02-23
36777,taking,France,2020-02-23
36778,donald,France,2020-02-23
36779,isn,France,2020-02-23
36780,cut,France,2020-02-23
36781,remember,France,2020-02-23
36782,worldwide,France,2020-02-23
36783,great,France,2020-02-23
36784,actually,France,2020-02-23
36785,partisan,France,2020-02-23
36786,gone,France,2020-02-23
36787,cancelled,France,2020-02-23
36788,literally,France,2020-02-23
36789,started,France,2020-02-23
36790,contain,France,2020-02-23
36791,workers,France,2020-02-23
36792,place,France,2020-02-23
36793,@foxnews,France,2020-02-23
36794,yo,France,2020-02-23
36795,went,France,2020-02-23
36796,hey,France,2020-02-23
36797,financial,France,2020-02-23
36798,growth,France,2020-02-23
36799,infections,France,2020-02-23
36800,@who,France,2020-02-23
36801,fucking,France,2020-02-23
36802,away,France,2020-02-23
36803,fine,France,2020-02-23
36804,#maga,France,2020-02-23
36805,staff,France,2020-02-23
36806,potential,France,2020-02-23
36807,outside,France,2020-02-23
36808,blame,France,2020-02-23
36809,korean,France,2020-02-23
36810,prepare,France,2020-02-23
36811,closures,France,2020-02-23
36812,deal,France,2020-02-23
36813,simply,France,2020-02-23
36814,6,France,2020-02-23
36815,kill,France,2020-02-23
36816,problem,France,2020-02-23
36817,happened,France,2020-02-23
36818,population,France,2020-02-23
36819,bc,France,2020-02-23
36820,team,France,2020-02-23
36821,effort,France,2020-02-23
36822,mean,France,2020-02-23
36823,tests,France,2020-02-23
36824,thought,France,2020-02-23
36825,spain,France,2020-02-23
36826,especially,France,2020-02-23
36827,wildlife,France,2020-02-23
36828,4,France,2020-02-23
36829,group,France,2020-02-23
36830,fear,France,2020-02-23
36831,contact,France,2020-02-23
36832,democrats,France,2020-02-23
36833,save,France,2020-02-23
36834,guy,France,2020-02-23
36835,post,France,2020-02-23
36836,million,France,2020-02-23
36837,making,France,2020-02-23
36838,aren,France,2020-02-23
36839,better,France,2020-02-23
36840,warns,France,2020-02-23
36841,prevent,France,2020-02-23
36842,#breaking,France,2020-02-23
36843,daily,France,2020-02-23
36844,told,France,2020-02-23
36845,closed,France,2020-02-23
36846,racist,France,2020-02-23
36847,100,France,2020-02-23
36848,worse,France,2020-02-23
36849,hand,France,2020-02-23
36850,worried,France,2020-02-23
36851,yesterday,France,2020-02-23
36852,employers,France,2020-02-23
36853,continue,France,2020-02-23
36854,safety,France,2020-02-23
36855,cause,France,2020-02-23
36856,im,France,2020-02-23
36857,harper,France,2020-02-23
36858,hospital,France,2020-02-23
36859,forecast,France,2020-02-23
36860,sm,France,2020-02-23
36861,report,France,2020-02-23
36862,economic,France,2020-02-23
36863,mass,France,2020-02-23
36864,guys,France,2020-02-23
36865,e,France,2020-02-23
36866,best,France,2020-02-23
36867,8,France,2020-02-23
36868,scared,France,2020-02-23
36869,uk,France,2020-02-23
36870,du,France,2020-02-23
36871,#honkhonk,France,2020-02-23
36872,#warroompandemic,France,2020-02-23
36873,milan,France,2020-02-23
36874,advice,France,2020-02-23
36875,protect,France,2020-02-23
36876,shows,France,2020-02-23
36877,@vp,France,2020-02-23
36878,patients,France,2020-02-23
36879,watch,France,2020-02-23
36880,sicily,France,2020-02-23
36881,details,France,2020-02-23
36882,data,France,2020-02-23
36883,allow,France,2020-02-23
36884,#coronavirius,France,2020-02-23
36885,vote,France,2020-02-23
36886,cover,France,2020-02-23
36887,mission,France,2020-02-23
36888,cancel,France,2020-02-23
36889,middle,France,2020-02-23
36890,years,France,2020-02-23
36891,gonna,France,2020-02-23
36892,soon,France,2020-02-23
36893,shit,France,2020-02-23
36894,africa,France,2020-02-23
36895,announced,France,2020-02-23
36896,times,France,2020-02-23
36897,@jayinslee,France,2020-02-23
36898,update,France,2020-02-23
36899,february,France,2020-02-23
36900,jump,France,2020-02-23
36901,working,France,2020-02-23
36902,lot,France,2020-02-23
36903,entire,France,2020-02-23
36904,wanted,France,2020-02-23
36905,map,France,2020-02-23
36906,austria,France,2020-02-23
36907,pray,France,2020-02-23
36908,end,France,2020-02-23
36909,imagine,France,2020-02-23
36910,magazine,France,2020-02-23
36911,responding,France,2020-02-23
36912,killed,France,2020-02-23
36913,low,France,2020-02-23
36914,numbers,France,2020-02-23
36915,expect,France,2020-02-23
36916,broker,France,2020-02-23
36917,left,France,2020-02-23
36918,adding,France,2020-02-23
36919,la,France,2020-02-23
36920,season,France,2020-02-23
36921,flights,France,2020-02-23
36922,probably,France,2020-02-23
36923,20,France,2020-02-23
36924,maybe,France,2020-02-23
36925,bit,France,2020-02-23
36926,handling,France,2020-02-23
36927,protective,France,2020-02-23
36928,dangerous,France,2020-02-23
36929,doctor,France,2020-02-23
36930,history,France,2020-02-23
36931,thinking,France,2020-02-23
36932,exactly,France,2020-02-23
36933,office,France,2020-02-23
36934,write,France,2020-02-23
36935,conference,France,2020-02-23
36936,9,France,2020-02-23
36937,political,France,2020-02-23
36938,look,France,2020-02-23
36939,didn,France,2020-02-23
36940,force,France,2020-02-23
36941,fact,France,2020-02-23
36942,#covid19us,France,2020-02-23
36943,follow,France,2020-02-23
36944,idiot,France,2020-02-23
36945,whistleblower,France,2020-02-23
36946,months,France,2020-02-23
36947,life,France,2020-02-23
36948,love,France,2020-02-23
36949,twitter,France,2020-02-23
36950,measures,France,2020-02-23
36951,money,France,2020-02-23
36952,k,France,2020-02-23
36953,lockdown,France,2020-02-23
36954,thank,France,2020-02-23
36955,bts,France,2020-02-23
36956,dems,France,2020-02-23
36957,26,France,2020-02-23
36958,guidance,France,2020-02-23
36959,n95,France,2020-02-23
36960,plague,France,2020-02-23
36961,night,France,2020-02-23
36962,experts,France,2020-02-23
36963,mask,France,2020-02-23
36964,locked,France,2020-02-23
36965,buy,France,2020-02-23
36966,info,France,2020-02-23
36967,reuters,France,2020-02-23
36968,insurance,France,2020-02-23
36969,mad,France,2020-02-23
36970,face,France,2020-02-23
36971,2019,France,2020-02-23
36972,recession,France,2020-02-23
36973,lol,France,2020-02-23
36974,threat,France,2020-02-23
36975,crazy,France,2020-02-23
36976,yes,France,2020-02-23
36977,n,France,2020-02-23
36978,arrived,France,2020-02-23
36979,funding,France,2020-02-23
36980,having,France,2020-02-23
36981,patient,France,2020-02-23
36982,w,France,2020-02-23
36983,150,France,2020-02-23
36984,head,France,2020-02-23
36985,warning,France,2020-02-23
36986,appointed,France,2020-02-23
36987,drop,France,2020-02-23
36988,@,France,2020-02-23
36989,little,France,2020-02-23
36990,yeah,France,2020-02-23
36991,surge,France,2020-02-23
36992,cold,France,2020-02-23
36993,hiv,France,2020-02-23
36994,damn,France,2020-02-23
36995,policy,France,2020-02-23
36996,diagnosed,France,2020-02-23
36997,breaking,France,2020-02-23
36998,@rfi,France,2020-02-23
36999,mort,France,2020-02-23
55000,#agenparlenglish,Italy,2020-02-09
55001,#socialnetwork,Italy,2020-02-09
55002,@bloglovin,Italy,2020-02-09
55003,#agenparl,Italy,2020-02-09
55004,#covid19,Italy,2020-02-09
55005,abstract,Italy,2020-02-09
55006,#situation,Italy,2020-02-09
55007,brige,Italy,2020-02-09
55008,wartime,Italy,2020-02-09
55009,#china,Italy,2020-02-09
55010,#salute,Italy,2020-02-09
55011,#coronavirus,Italy,2020-02-09
55012,su,Italy,2020-02-09
55013,di,Italy,2020-02-09
55014,2019,Italy,2020-02-09
55015,#report,Italy,2020-02-09
55016,#politicaestera,Italy,2020-02-09
55017,novel,Italy,2020-02-09
55018,martial,Italy,2020-02-09
55019,#https,Italy,2020-02-09
55020,#galaxy,Italy,2020-02-09
55021,#newsbygatfil,Italy,2020-02-09
55022,chiave,Italy,2020-02-09
55023,parole,Italy,2020-02-09
55024,nhk,Italy,2020-02-09
55025,coronavirus,Italy,2020-02-09
55026,ultime,Italy,2020-02-09
55027,#beijing,Italy,2020-02-09
55028,disease,Italy,2020-02-09
55029,committee,Italy,2020-02-09
55030,poorest,Italy,2020-02-09
55031,19,Italy,2020-02-09
55032,new,Italy,2020-02-09
55033,adesso,Italy,2020-02-09
55034,cases,Italy,2020-02-09
55035,#ambiente,Italy,2020-02-09
55036,centers,Italy,2020-02-09
55037,s,Italy,2020-02-09
55038,21,Italy,2020-02-09
55039,2020,Italy,2020-02-09
55040,amp,Italy,2020-02-09
55041,#nhfpc,Italy,2020-02-09
55042,law,Italy,2020-02-09
55043,news,Italy,2020-02-09
55044,edited,Italy,2020-02-09
55045,covid,Italy,2020-02-09
55046,mute,Italy,2020-02-09
55047,world,Italy,2020-02-09
55048,#japan,Italy,2020-02-09
55049,latest,Italy,2020-02-09
55050,outbreak,Italy,2020-02-09
55051,issued,Italy,2020-02-09
55052,thanks,Italy,2020-02-09
55053,declared,Italy,2020-02-09
55054,#coronaviruspandemic,Italy,2020-02-09
55055,prevention,Italy,2020-02-09
55056,#sarscov2,Italy,2020-02-09
55057,#samsung,Italy,2020-02-09
55058,contain,Italy,2020-02-09
55059,#2020,Italy,2020-02-09
55060,feb,Italy,2020-02-09
55061,daily,Italy,2020-02-09
55062,control,Italy,2020-02-09
55063,order,Italy,2020-02-09
55064,china,Italy,2020-02-09
55065,galaxy,Italy,2020-02-09
55066,t,Italy,2020-02-09
55067,#chinamike,Italy,2020-02-09
55068,sound,Italy,2020-02-09
55069,1,Italy,2020-02-09
55070,total,Italy,2020-02-09
55071,#scienzaetecnologia,Italy,2020-02-09
55072,cneb,Italy,2020-02-09
55073,sina,Italy,2020-02-09
55074,#usa,Italy,2020-02-09
55075,virus,Italy,2020-02-09
55076,epidemic,Italy,2020-02-09
55077,donno,Italy,2020-02-09
55078,stefano,Italy,2020-02-09
55079,#nowplaying,Italy,2020-02-09
55080,words,Italy,2020-02-09
55081,#ecm,Italy,2020-02-09
55082,great,Italy,2020-02-09
55083,people,Italy,2020-02-09
55084,africa,Italy,2020-02-09
55085,party,Italy,2020-02-09
55086,chinese,Italy,2020-02-09
55087,#educazione,Italy,2020-02-09
55088,yyyy,Italy,2020-02-09
55089,million,Italy,2020-02-09
55090,dead,Italy,2020-02-09
55091,just,Italy,2020-02-09
55092,#countries,Italy,2020-02-09
55093,flack,Italy,2020-02-09
55094,#covid,Italy,2020-02-09
55095,infection,Italy,2020-02-09
55096,finally,Italy,2020-02-09
55097,action,Italy,2020-02-09
55098,case,Italy,2020-02-09
55099,story,Italy,2020-02-09
55100,ifrc,Italy,2020-02-09
55101,pst,Italy,2020-02-09
55102,confirmed,Italy,2020-02-09
55103,february,Italy,2020-02-09
55104,da,Italy,2020-02-09
55105,free,Italy,2020-02-09
55106,#dg,Italy,2020-02-09
55107,#infectionmap,Italy,2020-02-09
55108,#remarks,Italy,2020-02-09
55109,health,Italy,2020-02-09
55110,global,Italy,2020-02-09
55111,deaths,Italy,2020-02-09
55112,cura,Italy,2020-02-09
55113,like,Italy,2020-02-09
55114,median,Italy,2020-02-09
55115,mm,Italy,2020-02-09
55116,2,Italy,2020-02-09
55117,wuhan,Italy,2020-02-09
55118,#breaking,Italy,2020-02-09
55119,@who,Italy,2020-02-09
55120,20,Italy,2020-02-09
55121,ship,Italy,2020-02-09
55122,steel,Italy,2020-02-09
55123,caroline,Italy,2020-02-09
55124,#clinical,Italy,2020-02-09
55125,sting,Italy,2020-02-09
55126,5,Italy,2020-02-09
55127,government,Italy,2020-02-09
55128,#us,Italy,2020-02-09
55129,citizen,Italy,2020-02-09
55130,cp,Italy,2020-02-09
55131,14,Italy,2020-02-09
55132,cruise,Italy,2020-02-09
55133,know,Italy,2020-02-09
55134,death,Italy,2020-02-09
55135,#wuhanoutbreak,Italy,2020-02-09
55136,dd,Italy,2020-02-09
55137,#update,Italy,2020-02-09
55138,think,Italy,2020-02-09
55139,discover,Italy,2020-02-09
55140,mao,Italy,2020-02-09
55141,15th,Italy,2020-02-09
55142,don,Italy,2020-02-09
55143,baby,Italy,2020-02-09
55144,#biowarfare,Italy,2020-02-09
55145,asia,Italy,2020-02-09
55146,#outbreak,Italy,2020-02-09
55147,#coronavirusoutbreak,Italy,2020-02-09
55148,16,Italy,2020-02-09
55149,samsung,Italy,2020-02-09
55150,#2019ncov,Italy,2020-02-09
55151,ssrn,Italy,2020-02-09
55152,@realdonaldtrump,Italy,2020-02-09
55153,live,Italy,2020-02-09
55154,@carlzha,Italy,2020-02-09
55155,cdc,Italy,2020-02-09
55156,corona,Italy,2020-02-09
55157,updated,Italy,2020-02-09
55158,#press,Italy,2020-02-09
55159,@lovedvoiceless,Italy,2020-02-09
55160,s20,Italy,2020-02-09
55161,@florafauna9999,Italy,2020-02-09
55162,radio,Italy,2020-02-09
55163,web,Italy,2020-02-09
55164,stay,Italy,2020-02-09
55165,genetic,Italy,2020-02-09
55166,u,Italy,2020-02-09
55167,start,Italy,2020-02-09
55168,#egypt,Italy,2020-02-09
55169,eea,Italy,2020-02-09
55170,sun,Italy,2020-02-09
55171,w,Italy,2020-02-09
55172,#paginanuova,Italy,2020-02-09
55173,@uw,Italy,2020-02-09
55174,money,Italy,2020-02-09
55175,summit,Italy,2020-02-09
55176,ncov,Italy,2020-02-09
55177,business,Italy,2020-02-09
55178,13,Italy,2020-02-09
55179,reported,Italy,2020-02-09
55180,#convid19,Italy,2020-02-09
55181,medicina,Italy,2020-02-09
55182,2,Italy,2020-02-09
55183,did,Italy,2020-02-09
55184,works,Italy,2020-02-09
55185,europe,Italy,2020-02-09
55186,time,Italy,2020-02-09
55187,hubei,Italy,2020-02-09
55188,doesn,Italy,2020-02-09
55189,infected,Italy,2020-02-09
55190,boredom,Italy,2020-02-09
55191,far,Italy,2020-02-09
55192,j,Italy,2020-02-09
55193,gt,Italy,2020-02-09
55194,#risk,Italy,2020-02-09
55195,bbc,Italy,2020-02-09
55196,#health,Italy,2020-02-09
55197,#bioweapon,Italy,2020-02-09
55198,taiwan,Italy,2020-02-09
55199,does,Italy,2020-02-09
55200,#auto,Italy,2020-02-09
55201,m,Italy,2020-02-09
55202,war,Italy,2020-02-09
55203,evil,Italy,2020-02-09
55204,ft,Italy,2020-02-09
55205,#assessment,Italy,2020-02-09
55206,#difesa,Italy,2020-02-09
55207,#epidemiological,Italy,2020-02-09
55208,outside,Italy,2020-02-09
55209,work,Italy,2020-02-09
55210,breaking,Italy,2020-02-09
55211,reports,Italy,2020-02-09
55212,origins,Italy,2020-02-09
55213,make,Italy,2020-02-09
55214,spread,Italy,2020-02-09
55215,9,Italy,2020-02-09
55216,demand,Italy,2020-02-09
55217,#spread,Italy,2020-02-09
55218,#bloomberg,Italy,2020-02-09
55219,rt,Italy,2020-02-09
55220,0,Italy,2020-02-09
55221,trend,Italy,2020-02-09
55222,look,Italy,2020-02-09
55223,research,Italy,2020-02-09
55224,huge,Italy,2020-02-09
55225,friday,Italy,2020-02-09
55226,going,Italy,2020-02-09
55227,google,Italy,2020-02-09
55228,#transmission,Italy,2020-02-09
55229,images,Italy,2020-02-09
55230,fold,Italy,2020-02-09
55231,ppl,Italy,2020-02-09
55232,related,Italy,2020-02-09
55233,day,Italy,2020-02-09
55234,0,Italy,2020-02-09
55235,risk,Italy,2020-02-09
55236,#arteculturaintrattenimento,Italy,2020-02-09
55237,#cina,Italy,2020-02-09
55238,#features,Italy,2020-02-09
55239,#like,Italy,2020-02-09
55240,oggi,Italy,2020-02-09
55241,transgender,Italy,2020-02-09
55242,canceled,Italy,2020-02-09
55243,fear,Italy,2020-02-09
55244,advertising,Italy,2020-02-09
55245,blankets,Italy,2020-02-09
55246,#france,Italy,2020-02-09
55247,xi,Italy,2020-02-09
55248,click,Italy,2020-02-09
55249,#public,Italy,2020-02-09
55250,remix,Italy,2020-02-09
55251,high,Italy,2020-02-09
55252,travel,Italy,2020-02-09
55253,tame,Italy,2020-02-09
55254,medicine,Italy,2020-02-09
55255,15,Italy,2020-02-09
55256,doctors,Italy,2020-02-09
55257,#democrats,Italy,2020-02-09
55258,presumably,Italy,2020-02-09
55259,#dennis,Italy,2020-02-09
55260,#icu,Italy,2020-02-09
55261,#strong,Italy,2020-02-09
55262,chp,Italy,2020-02-09
55263,@berniesanders,Italy,2020-02-09
55264,6,Italy,2020-02-09
55265,ll,Italy,2020-02-09
55266,man,Italy,2020-02-09
55267,#covid2019,Italy,2020-02-09
55268,fight,Italy,2020-02-09
55269,#eu,Italy,2020-02-09
55270,#pneumonia,Italy,2020-02-09
55271,doing,Italy,2020-02-09
55272,#hk,Italy,2020-02-09
55273,90,Italy,2020-02-09
55274,@jhusystems,Italy,2020-02-09
55275,victims,Italy,2020-02-09
55276,alleged,Italy,2020-02-09
55277,#taiwan,Italy,2020-02-09
55278,need,Italy,2020-02-09
55279,want,Italy,2020-02-09
55280,tourist,Italy,2020-02-09
55281,500,Italy,2020-02-09
55282,#vatican,Italy,2020-02-09
55283,#wakayama,Italy,2020-02-09
55284,@bbchealth,Italy,2020-02-09
55285,hospital,Italy,2020-02-09
55286,#wuhan,Italy,2020-02-09
55287,says,Italy,2020-02-09
55288,Italyn,Italy,2020-02-09
55289,children,Italy,2020-02-09
55290,@petebuttigieg,Italy,2020-02-09
55291,love,Italy,2020-02-09
55292,oil,Italy,2020-02-09
55293,good,Italy,2020-02-09
55294,mobile,Italy,2020-02-09
55295,8,Italy,2020-02-09
55296,clothes,Italy,2020-02-09
55297,masks,Italy,2020-02-09
55298,maybe,Italy,2020-02-09
55299,happening,Italy,2020-02-09
55300,london,Italy,2020-02-09
55301,sales,Italy,2020-02-09
55302,tech,Italy,2020-02-09
55303,wb,Italy,2020-02-09
55304,egypt,Italy,2020-02-09
55305,3,Italy,2020-02-09
55306,@ecdc,Italy,2020-02-09
55307,gp,Italy,2020-02-09
55308,imo,Italy,2020-02-09
55309,port,Italy,2020-02-09
55310,public,Italy,2020-02-09
55311,confirms,Italy,2020-02-09
55312,#canada,Italy,2020-02-09
55313,100,Italy,2020-02-09
55314,summary,Italy,2020-02-09
55315,sudden,Italy,2020-02-09
55316,stand,Italy,2020-02-09
55317,billie,Italy,2020-02-09
55318,giga,Italy,2020-02-09
55319,womb,Italy,2020-02-09
55320,143,Italy,2020-02-09
55321,cet,Italy,2020-02-09
55322,tightens,Italy,2020-02-09
55323,provide,Italy,2020-02-09
55324,really,Italy,2020-02-09
55325,7,Italy,2020-02-09
55326,countries,Italy,2020-02-09
55327,aboard,Italy,2020-02-09
55328,link,Italy,2020-02-09
55329,@youtube,Italy,2020-02-09
55330,hong,Italy,2020-02-09
55331,ca,Italy,2020-02-09
55332,number,Italy,2020-02-09
55333,fighting,Italy,2020-02-09
55334,potential,Italy,2020-02-09
55335,#cases,Italy,2020-02-09
55336,#event,Italy,2020-02-09
55337,economy,Italy,2020-02-09
55338,wealthy,Italy,2020-02-09
55339,science,Italy,2020-02-09
55340,food,Italy,2020-02-09
55341,sure,Italy,2020-02-09
55342,usa,Italy,2020-02-09
55343,review,Italy,2020-02-09
55344,cancelled,Italy,2020-02-09
55345,announces,Italy,2020-02-09
55346,@jackposobiec,Italy,2020-02-09
55347,toll,Italy,2020-02-09
55348,update,Italy,2020-02-09
55349,let,Italy,2020-02-09
55350,said,Italy,2020-02-09
55351,check,Italy,2020-02-09
55352,response,Italy,2020-02-09
55353,read,Italy,2020-02-09
55354,community,Italy,2020-02-09
55355,able,Italy,2020-02-09
55356,killing,Italy,2020-02-09
55357,association,Italy,2020-02-09
55358,test,Italy,2020-02-09
55359,17,Italy,2020-02-09
55360,safety,Italy,2020-02-09
55361,marketing,Italy,2020-02-09
55362,supporters,Italy,2020-02-09
55363,#briefing,Italy,2020-02-09
55364,bring,Italy,2020-02-09
55365,job,Italy,2020-02-09
55366,#coronaviruses,Italy,2020-02-09
55367,kong,Italy,2020-02-09
55368,help,Italy,2020-02-09
55369,#community,Italy,2020-02-09
55370,9,Italy,2020-02-09
55371,clinical,Italy,2020-02-09
55372,cost,Italy,2020-02-09
55373,questions,Italy,2020-02-09
55374,#coronavairus,Italy,2020-02-09
55375,quarantine,Italy,2020-02-09
55376,build,Italy,2020-02-09
55377,crisis,Italy,2020-02-09
55378,positive,Italy,2020-02-09
55379,spreading,Italy,2020-02-09
55380,#hongkong,Italy,2020-02-09
55381,globe,Italy,2020-02-09
55382,conference,Italy,2020-02-09
55383,year,Italy,2020-02-09
55384,med,Italy,2020-02-09
55385,#hawaii,Italy,2020-02-09
55386,cna,Italy,2020-02-09
55387,summoned,Italy,2020-02-09
55388,feels,Italy,2020-02-09
55389,airport,Italy,2020-02-09
55390,york,Italy,2020-02-09
55391,eu,Italy,2020-02-09
55392,thing,Italy,2020-02-09
55393,700,Italy,2020-02-09
55394,proud,Italy,2020-02-09
55395,spreads,Italy,2020-02-09
55396,watch,Italy,2020-02-09
55397,matter,Italy,2020-02-09
55398,evolution,Italy,2020-02-09
55399,#africa,Italy,2020-02-09
55400,lived,Italy,2020-02-09
55401,#doctor,Italy,2020-02-09
55402,#european,Italy,2020-02-09
55403,641,Italy,2020-02-09
55404,jun,Italy,2020-02-09
55405,montreal,Italy,2020-02-09
55406,home,Italy,2020-02-09
55407,linked,Italy,2020-02-09
55408,president,Italy,2020-02-09
55409,didn,Italy,2020-02-09
55410,days,Italy,2020-02-09
55411,worst,Italy,2020-02-09
55412,areas,Italy,2020-02-09
55413,probably,Italy,2020-02-09
55414,digital,Italy,2020-02-09
55415,hand,Italy,2020-02-09
55416,numbers,Italy,2020-02-09
55417,india,Italy,2020-02-09
55418,threat,Italy,2020-02-09
55419,hold,Italy,2020-02-09
55420,@fao,Italy,2020-02-09
55421,breaches,Italy,2020-02-09
55422,infants,Italy,2020-02-09
55423,william,Italy,2020-02-09
55424,#brunobaldassarri,Italy,2020-02-09
55425,#iodonna,Italy,2020-02-09
55426,#mia,Italy,2020-02-09
55427,#valerianamariani,Italy,2020-02-09
55428,hgis,Italy,2020-02-09
55429,died,Italy,2020-02-09
55430,video,Italy,2020-02-09
55431,americans,Italy,2020-02-09
55432,family,Italy,2020-02-09
55433,briefing,Italy,2020-02-09
55434,continent,Italy,2020-02-09
55435,plant,Italy,2020-02-09
55436,regime,Italy,2020-02-09
55437,run,Italy,2020-02-09
55438,@ewarren,Italy,2020-02-09
55439,snake,Italy,2020-02-09
55440,end,Italy,2020-02-09
55441,caused,Italy,2020-02-09
55442,increased,Italy,2020-02-09
55443,amid,Italy,2020-02-09
55444,course,Italy,2020-02-09
55445,barrel,Italy,2020-02-09
55446,@joebiden,Italy,2020-02-09
55447,organizers,Italy,2020-02-09
55448,verge,Italy,2020-02-09
55449,feel,Italy,2020-02-09
55450,african,Italy,2020-02-09
55451,idea,Italy,2020-02-09
55452,open,Italy,2020-02-09
55453,right,Italy,2020-02-09
55454,little,Italy,2020-02-09
55455,thought,Italy,2020-02-09
55456,tested,Italy,2020-02-09
55457,pm,Italy,2020-02-09
55458,rights,Italy,2020-02-09
55459,au,Italy,2020-02-09
55460,info,Italy,2020-02-09
55461,workers,Italy,2020-02-09
55462,#uk,Italy,2020-02-09
55463,wrong,Italy,2020-02-09
55464,systemic,Italy,2020-02-09
55465,poor,Italy,2020-02-09
55466,early,Italy,2020-02-09
55467,rise,Italy,2020-02-09
55468,valentine,Italy,2020-02-09
55469,cancels,Italy,2020-02-09
55470,congress,Italy,2020-02-09
55471,social,Italy,2020-02-09
55472,updates,Italy,2020-02-09
55473,brain,Italy,2020-02-09
55474,weekly,Italy,2020-02-09
55475,russia,Italy,2020-02-09
55476,problem,Italy,2020-02-09
55477,old,Italy,2020-02-09
55478,isn,Italy,2020-02-09
55479,night,Italy,2020-02-09
55480,security,Italy,2020-02-09
55481,vatican,Italy,2020-02-09
55482,concerns,Italy,2020-02-09
55483,cardinal,Italy,2020-02-09
55484,dennis,Italy,2020-02-09
55485,#economia,Italy,2020-02-09
55486,#infrastrutture,Italy,2020-02-09
55487,#lessons,Italy,2020-02-09
55488,china#la,Italy,2020-02-09
55489,garage,Italy,2020-02-09
55490,warships,Italy,2020-02-09
55491,supply,Italy,2020-02-09
55492,care,Italy,2020-02-09
55493,data,Italy,2020-02-09
55494,cash,Italy,2020-02-09
55495,researchers,Italy,2020-02-09
55496,restrictions,Italy,2020-02-09
55497,theory,Italy,2020-02-09
55498,diseases,Italy,2020-02-09
55499,ah,Italy,2020-02-09
55500,#agenparlenglish,Italy,2020-02-16
55501,#socialnetwork,Italy,2020-02-16
55502,#agenparl,Italy,2020-02-16
55503,#covid19,Italy,2020-02-16
55504,#https,Italy,2020-02-16
55505,@bloglovin,Italy,2020-02-16
55506,italy,Italy,2020-02-16
55507,di,Italy,2020-02-16
55508,19,Italy,2020-02-16
55509,covid,Italy,2020-02-16
55510,#salute,Italy,2020-02-16
55511,#scienzaetecnologia,Italy,2020-02-16
55512,#coronavirus,Italy,2020-02-16
55513,#politicaestera,Italy,2020-02-16
55514,cases,Italy,2020-02-16
55515,#economia,Italy,2020-02-16
55516,#italy,Italy,2020-02-16
55517,#educazione,Italy,2020-02-16
55518,#coronavirusItaly,Italy,2020-02-16
55519,#situation,Italy,2020-02-16
55520,abstract,Italy,2020-02-16
55521,su,Italy,2020-02-16
55522,#chinamike,Italy,2020-02-16
55523,#infrastrutture,Italy,2020-02-16
55524,parole,Italy,2020-02-16
55525,#china,Italy,2020-02-16
55526,coronavirus,Italy,2020-02-16
55527,#newsbygatfil,Italy,2020-02-16
55528,chiave,Italy,2020-02-16
55529,#feedblitz,Italy,2020-02-16
55530,ssrn,Italy,2020-02-16
55531,s,Italy,2020-02-16
55532,ultime,Italy,2020-02-16
55533,Italyn,Italy,2020-02-16
55534,ora,Italy,2020-02-16
55535,#galaxy,Italy,2020-02-16
55536,2019,Italy,2020-02-16
55537,#search,Italy,2020-02-16
55538,ultim,Italy,2020-02-16
55539,crl,Italy,2020-02-16
55540,2020,Italy,2020-02-16
55541,edited,Italy,2020-02-16
55542,thanks,Italy,2020-02-16
55543,latest,Italy,2020-02-16
55544,daily,Italy,2020-02-16
55545,#paginanuova,Italy,2020-02-16
55546,new,Italy,2020-02-16
55547,milan,Italy,2020-02-16
